language,speedup,n_utts,wer_micro,cer_micro,wer_macro,cer_macro
en_us,1.0,645,0.035518742103046466,0.01593284840310227,0.03699964785582862,0.01672710550665155
en_us,1.2,645,0.037133230380457675,0.017667035984392312,0.03819092517404144,0.017423039888344597
en_us,1.4,645,0.050049136599747295,0.027602485668866517,0.05242739917565614,0.02772302658695554
en_us,1.5,645,0.0631054331040292,0.03997061515487259,0.06303208768319149,0.03865468474405576
en_us,1.6,645,0.07910992559314896,0.05442217833228961,0.07973957845820177,0.05437816744927104
es_419,1.0,903,0.020730804407473543,0.00911006261313392,0.02259333428350193,0.009843519249358501
es_419,1.2,903,0.01951134532468098,0.008227247099320455,0.020744995682992654,0.008605473548430748
es_419,1.4,903,0.02251644092156265,0.010267366984183507,0.02414501496661105,0.01099970572957739
es_419,1.5,903,0.026523235050738208,0.01184753256773198,0.02856413070995357,0.012432642470576042
es_419,1.6,903,0.031531727712207656,0.01421407163417312,0.03453984596909611,0.015305514038052442
sv_se,1.0,751,0.049376894577298755,0.017637678077822665,0.051500388891624324,0.01750000847859115
sv_se,1.2,751,0.062377905018524755,0.02292153944290878,0.06492412390836874,0.023091237183727843
sv_se,1.4,751,0.07753452340855507,0.030384860727195408,0.08114430867352132,0.03143959063129771
sv_se,1.5,751,0.1016503873358033,0.04206889219647034,0.1083415235986747,0.04434983371799242
sv_se,1.6,751,0.13465813405186933,0.06039761854135658,0.14777236630865234,0.06495315084067227
