language,speedup,n_utts,wer_micro,cer_micro,wer_macro,cer_macro
en_us,1.0,645,0.0355187421030464,0.0159328484031022,0.0369996478558286,0.0167271055066515
en_us,1.2,645,0.0371332303804576,0.0176670359843923,0.0381909251740414,0.0174230398883445
en_us,1.4,645,0.0500491365997472,0.0276024856688665,0.0524273991756561,0.0277230265869555
en_us,1.5,645,0.0631054331040292,0.0399706151548725,0.0630320876831914,0.0386546847440557
en_us,1.6,645,0.0791099255931489,0.0544221783322896,0.0797395784582017,0.054378167449271
en_us,2.0,645,0.3133511161027656,0.2582253480418132,0.3151368501322493,0.2602483298851437
en_us,2.5,645,0.7602133932331883,0.6657955585529168,0.763937550543835,0.6645534869500499
en_us,3.0,645,0.9640600870419768,0.8593501613757888,0.966034351547704,0.8562941294501154
es_419,1.0,903,0.0207308044074735,0.0091100626131339,0.0225933342835019,0.0098435192493585
es_419,1.2,903,0.0195113453246809,0.0082272470993204,0.0207449956829926,0.0086054735484307
es_419,1.4,903,0.0225164409215626,0.0102673669841835,0.024145014966611,0.0109997057295773
es_419,1.5,903,0.0265232350507382,0.0118475325677319,0.0285641307099535,0.012432642470576
es_419,1.6,903,0.0315317277122076,0.0142140716341731,0.0345398459690961,0.0153055140380524
es_419,2.0,903,0.1641914550759984,0.087554526840559,0.1791154077473521,0.0958546060981331
es_419,2.5,903,0.8046687862026916,0.5888750408023977,0.819960904378944,0.5970050279821446
es_419,3.0,903,0.9772657985279388,0.7989035282946082,0.9785473895933308,0.7979354939846458
sv_se,1.0,751,0.0493768945772987,0.0176376780778226,0.0515003888916243,0.0175000084785911
sv_se,1.2,751,0.0623779050185247,0.0229215394429087,0.0649241239083687,0.0230912371837278
sv_se,1.4,751,0.077534523408555,0.0303848607271954,0.0811443086735213,0.0314395906312977
sv_se,1.5,751,0.1016503873358033,0.0420688921964703,0.1083415235986747,0.0443498337179924
sv_se,1.6,751,0.1346581340518693,0.0603976185413565,0.1477723663086523,0.0649531508406722
sv_se,2.0,751,0.5670596160323341,0.3234531150329577,0.6064880004724744,0.3443971847542186
sv_se,2.5,751,0.9673290670259348,0.694216457580268,0.9726531264263694,0.6962333391656366
sv_se,3.0,751,0.9946109801279892,0.8636083351052519,0.9953185130392658,0.8643344018241916
