language,speedup,n_utts,wer_micro,cer_micro,wer_macro,cer_macro
en_us,1.0,645,0.035518742103046466,0.01593284840310227,0.03699964785582862,0.01672710550665155
en_us,1.5,645,0.0631054331040292,0.03997061515487259,0.06303208768319149,0.03865468474405576
en_us,2.0,645,0.31335111610276567,0.2582253480418132,0.3151368501322493,0.26024832988514374
en_us,2.5,645,0.7602133932331883,0.6657955585529168,0.763937550543835,0.6645534869500499
en_us,3.0,645,0.9640600870419767,0.8593501613757888,0.9660343515477041,0.8562941294501154
es_419,1.0,903,0.020730804407473543,0.00911006261313392,0.02259333428350193,0.009843519249358501
es_419,1.5,903,0.026523235050738208,0.01184753256773198,0.02856413070995357,0.012432642470576042
es_419,2.0,903,0.16419145507599844,0.08755452684055906,0.17911540774735216,0.09585460609813311
es_419,2.5,903,0.8046687862026916,0.5888750408023977,0.819960904378944,0.5970050279821446
es_419,3.0,903,0.9772657985279387,0.7989035282946082,0.9785473895933307,0.7979354939846458
sv_se,1.0,751,0.049376894577298755,0.017637678077822665,0.051500388891624324,0.01750000847859115
sv_se,1.5,751,0.1016503873358033,0.04206889219647034,0.1083415235986747,0.04434983371799242
sv_se,2.0,751,0.5670596160323341,0.3234531150329577,0.6064880004724744,0.3443971847542186
sv_se,2.5,751,0.9673290670259347,0.694216457580268,0.9726531264263694,0.6962333391656366
sv_se,3.0,751,0.9946109801279892,0.8636083351052519,0.9953185130392658,0.8643344018241916
