language,speedup,n_utts,wer_micro,cer_micro,wer_macro,cer_macro
en_us,1.0,645,0.0518040151621507,0.0213642275639481,0.0539036799235687,0.0220689109054514
en_us,1.2,645,0.0539800645795311,0.0223397080784238,0.0571999257483153,0.0235446163863117
en_us,1.4,645,0.0575600168468342,0.0239534659665687,0.0598109618232607,0.0247496077184598
en_us,1.5,645,0.0656324582338902,0.0280962474107615,0.0692391158286357,0.0294571951272965
en_us,1.6,645,0.0706865084936122,0.0308300014451563,0.0744048827019034,0.0320896843515971
en_us,2.0,645,0.1656605362908886,0.0881786213208728,0.1734389746406531,0.092302969838141
es_419,1.0,903,0.0318365924829057,0.0109795542894447,0.0337352331526842,0.0118307367653347
es_419,1.2,903,0.0324898741344018,0.0111724383512863,0.0350697646821977,0.0122102230185651
es_419,1.4,903,0.0357127302817821,0.0128935576723344,0.0380260319425002,0.0137925259169109
es_419,1.5,903,0.038848482208963,0.0142140716341731,0.0416228883527254,0.0156780165394826
es_419,1.6,903,0.0446409128522276,0.0160835633104839,0.0475530857180213,0.0171619237390566
es_419,2.0,903,0.1279560994730194,0.0589334995103712,0.1327932863500482,0.0598058811588123
sv_se,1.0,751,0.0842707982485685,0.0245800552838613,0.0882722436321605,0.0250949296089121
sv_se,1.2,751,0.0926911417985853,0.0268020412502657,0.0988758526454248,0.027645021016046
sv_se,1.4,751,0.1154597507578309,0.0355517754624707,0.1215001974685487,0.0366990773633984
sv_se,1.5,751,0.135533849781071,0.0433765681479906,0.1440318616097063,0.0449492780826891
sv_se,1.6,751,0.1566183900303132,0.0518605145651711,0.1658086105751105,0.0541384033988028
sv_se,2.0,751,0.4053216571236106,0.1753029980863278,0.435971668199705,0.1874598130374331
