language,speedup,n_utts,wer_micro,cer_micro,wer_macro,cer_macro
en_us,1.0,645,0.05180401516215078,0.021364227563948165,0.053903679923568704,0.02206891090545142
en_us,1.5,645,0.06563245823389022,0.028096247410761596,0.0692391158286357,0.029457195127296595
en_us,2.0,645,0.16566053629088867,0.08817862132087287,0.17343897464065317,0.09230296983814101
en_us,2.5,645,1.2312227993822829,0.9051134447709427,1.3883517883150385,1.0345228740455
en_us,3.0,645,3.336094342271515,2.619261525121634,3.4756851207456134,2.738361819704469
es_419,1.0,903,0.031836592482905796,0.01097955428944479,0.033735233152684264,0.011830736765334724
es_419,1.5,903,0.038848482208963024,0.01421407163417312,0.041622888352725415,0.015678016539482646
es_419,2.0,903,0.12795609947301947,0.058933499510371225,0.13279328635004828,0.05980588115881238
es_419,2.5,903,1.065110404599103,0.7197691326152111,1.274031382118431,0.8688477823699472
es_419,3.0,903,3.1496014981925873,2.1659618979791686,3.483591521057024,2.391578788199123
sv_se,1.0,751,0.08427079824856853,0.024580055283861365,0.08827224363216057,0.025094929608912173
sv_se,1.5,751,0.13553384978107108,0.043376568147990645,0.14403186160970635,0.04494927808268912
sv_se,2.0,751,0.4053216571236106,0.17530299808632788,0.43597166819970506,0.1874598130374331
sv_se,2.5,751,1.4092286965308185,0.9445885604933022,1.5898515638817103,1.0325936705935204
sv_se,3.0,751,3.2055911081172113,2.2583882628109717,3.288016685551488,2.285091294333822
